example_id                                                 | status | run_time        |
---------------------------------------------------------- | ------ | --------------- |
./spec/controllers/application_controller_spec.rb[1:1:1]   | passed | 0.00732 seconds |
./spec/controllers/application_controller_spec.rb[1:1:2]   | passed | 0.01583 seconds |
./spec/controllers/application_controller_spec.rb[1:2:1]   | passed | 0.00802 seconds |
./spec/controllers/application_controller_spec.rb[1:2:2]   | passed | 0.00725 seconds |
./spec/controllers/application_controller_spec.rb[1:2:3]   | passed | 0.0074 seconds  |
./spec/controllers/application_controller_spec.rb[1:3:1:1] | passed | 0.03562 seconds |
./spec/controllers/application_controller_spec.rb[1:3:1:2] | passed | 0.00957 seconds |
./spec/controllers/application_controller_spec.rb[1:3:2:1] | passed | 0.0086 seconds  |
./spec/controllers/cities_controller_spec.rb[1:1:1:1]      | passed | 0.27227 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:2:1]      | passed | 0.00294 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:2:2]      | passed | 0.00325 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:3:1]      | passed | 0.23931 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:3:2]      | passed | 0.26434 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:3:3]      | passed | 0.00381 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:4:1:1:1]  | passed | 0.00854 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:4:1:1:2]  | passed | 0.00893 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:4:1:1:3]  | passed | 0.00999 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:4:1:2:1]  | passed | 0.01285 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:4:1:2:2]  | passed | 0.00923 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:4:2:1]    | passed | 0.00913 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:5:1]      | passed | 0.00771 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:5:2]      | passed | 0.00775 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:5:3]      | passed | 0.00838 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:6:1]      | passed | 0.25364 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:6:2]      | passed | 0.24457 seconds |
./spec/controllers/cities_controller_spec.rb[1:1:7:1]      | passed | 0.01628 seconds |
./spec/controllers/markers_controller_spec.rb[1:1:1]       | passed | 0.07321 seconds |
./spec/controllers/markers_controller_spec.rb[1:2:1]       | passed | 0.01142 seconds |
./spec/controllers/markers_controller_spec.rb[1:3:1]       | passed | 0.01232 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:1]      | passed | 0.00698 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:1]      | passed | 0.00642 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:2]      | passed | 0.00711 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:3]      | failed | 0.00788 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:4]      | passed | 0.00726 seconds |
./spec/controllers/sessions_controller_spec.rb[1:3:1]      | failed | 0.00634 seconds |
./spec/controllers/sessions_controller_spec.rb[1:4:1]      | failed | 0.00593 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]         | failed | 0.00103 seconds |
./spec/controllers/users_controller_spec.rb[1:1:2]         | passed | 0.00314 seconds |
./spec/controllers/users_controller_spec.rb[1:1:3]         | failed | 0.03423 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1:1]       | passed | 0.00501 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1:2]       | passed | 0.00396 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2:1]       | passed | 0.01285 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2:2]       | passed | 0.00538 seconds |
./spec/models/city_spec.rb[1:1:1]                          | passed | 0.00565 seconds |
./spec/models/city_spec.rb[1:1:2]                          | passed | 0.19951 seconds |
./spec/models/city_spec.rb[1:2:1]                          | passed | 0.28238 seconds |
./spec/models/marker_spec.rb[1:1:1]                        | passed | 0.00231 seconds |
./spec/models/marker_spec.rb[1:1:2]                        | passed | 0.00898 seconds |
./spec/models/user_spec.rb[1:1:1]                          | passed | 0.00137 seconds |
./spec/models/user_spec.rb[1:1:2]                          | passed | 0.00106 seconds |
./spec/models/user_spec.rb[1:1:3]                          | passed | 0.00367 seconds |
./spec/models/user_spec.rb[1:2:1]                          | passed | 0.00134 seconds |
./spec/models/user_spec.rb[1:2:2]                          | passed | 0.00067 seconds |
./spec/models/user_spec.rb[1:2:3]                          | passed | 0.00085 seconds |
./spec/models/user_spec.rb[1:2:4]                          | passed | 0.00783 seconds |
./spec/models/user_spec.rb[1:3:1:1]                        | passed | 0.00525 seconds |
./spec/models/user_spec.rb[1:3:1:2:1]                      | passed | 0.00374 seconds |
./spec/models/user_spec.rb[1:3:1:2:2]                      | passed | 0.00364 seconds |
./spec/models/user_spec.rb[1:3:1:2:3]                      | passed | 0.0048 seconds  |
./spec/models/user_spec.rb[1:3:2:1]                        | passed | 0.00311 seconds |
